date,max_supply,total_supply,the_open_network_foundation,frozen,issued_supply,backers,the_locker,dns_locked,telegram,inactive_early_wallet,mining_smart_contracts,circulating_supply_first_principles,circulating_supply_api
2022-01-23,5052986497,5052986497,0,0,2902148967,0,0,0,0,0,2150837530,2902148967,2902148967
2022-01-24,5053056543,5053056543,0,0,2902408287,0,0,0,0,0,2150648256,2902408287,2902408287
2022-01-25,5053126096,5053126096,0,0,2902663625,0,0,0,0,0,2150462471,2902663625,2902663625
2022-01-26,5053196466,5053196466,0,0,2902920291,0,0,0,0,0,2150276175,2902920291,2902920291
2022-01-27,5053266325,5053266325,0,0,2903165338,0,0,0,0,0,2150100987,2903165338,2903165338
2022-01-28,5053335449,5053335449,0,0,2903422713,0,0,0,0,0,2149912736,2903422713,2903422713
2022-01-29,5053405528,5053405528,0,0,2903663560,0,0,0,0,0,2149741968,2903663560,2903663560
2022-01-30,5053474841,5053474841,0,0,2903900715,0,0,0,0,0,2149574126,2903900715,2903900715
2022-01-31,5053543420,5053543420,0,0,2904127655,0,0,0,0,0,2149415765,2904127655,2904127655
2022-02-01,5053613101,5053613101,0,0,2904345503,0,0,0,0,0,2149267598,2904345503,2904345503
2022-02-02,5053681736,5053681736,0,0,2904550046,0,0,0,0,0,2149131690,2904550046,2904550046
2022-02-03,5053750338,5053750338,0,0,2904813016,0,0,0,0,0,2148937322,2904813016,2904813016
2022-02-04,5053820565,5053820565,0,0,2905072205,0,0,0,0,0,2148748360,2905072205,2905072205
2022-02-05,5053890139,5053890139,0,0,2905322970,0,0,0,0,0,2148567169,2905322970,2905322970
2022-02-06,5053960058,5053960058,0,0,2905570873,0,0,0,0,0,2148389185,2905570873,2905570873
2022-02-07,5054030558,5054030558,0,0,2905829083,0,0,0,0,0,2148201476,2905829083,2905829083
2022-02-08,5054099831,5054099831,0,0,2906067838,0,0,0,0,0,2148031992,2906067838,2906067838
2022-02-09,5054169250,5054169250,0,0,2906353439,0,0,0,0,0,2147815811,2906353439,2906353439
2022-02-10,5054239991,5054239991,0,0,2906659152,0,0,0,0,0,2147580839,2906659152,2906659152
2022-02-11,5054309903,5054309903,0,0,2906964811,0,0,0,0,0,2147345092,2906964811,2906964811
2022-02-12,5054379156,5054379156,0,0,2907264989,0,0,0,0,0,2147114168,2907264989,2907264989
2022-02-13,5054449465,5054449465,0,0,2907570661,0,0,0,0,0,2146878804,2907570661,2907570661
2022-02-14,5054517857,5054517857,0,0,2907874805,0,0,0,0,0,2146643052,2907874805,2907874805
2022-02-15,5054585860,5054585860,0,0,2908200186,0,0,0,0,0,2146385674,2908200186,2908200186
2022-02-16,5054654606,5054654606,0,0,2908498101,0,0,0,0,0,2146156505,2908498101,2908498101
2022-02-17,5054723011,5054723011,0,0,2908808209,0,0,0,0,0,2145914801,2908808209,2908808209
2022-02-18,5054791021,5054791021,0,0,2909154880,0,0,0,0,0,2145636140,2909154880,2909154880
2022-02-19,5054859320,5054859320,0,0,2964524002,0,0,0,0,0,2090335318,2964524002,2964524002
2022-02-20,5054926186,5054926186,0,0,2964839289,0,0,0,0,0,2090086898,2964839289,2964839289
2022-02-21,5054993035,5054993035,0,0,2965150363,0,0,0,0,0,2089842672,2965150363,2965150363
2022-02-22,5055061236,5055061236,0,0,2965484709,0,0,0,0,0,2089576528,2965484709,2965484709
2022-02-23,5055129141,5055129141,0,0,2965798199,0,0,0,0,0,2089330942,2965798199,2965798199
2022-02-24,5055196518,5055196518,0,0,2966087766,0,0,0,0,0,2089108752,2966087766,2966087766
2022-02-25,5055264594,5055264594,0,0,2966397852,0,0,0,0,0,2088866742,2966397852,2966397852
2022-02-26,5055333115,5055333115,0,0,2966702790,0,0,0,0,0,2088630325,2966702790,2966702790
2022-02-27,5055402954,5055402954,0,0,2967004828,0,0,0,0,0,2088398126,2967004828,2967004828
2022-02-28,5055472370,5055472370,0,0,2967307566,0,0,0,0,0,2088164804,2967307566,2967307566
2022-03-01,5055540628,5055540628,0,0,2967622969,0,0,0,0,0,2087917659,2967622969,2967622969
2022-03-02,5055609687,5055609687,0,0,2967930990,0,0,0,0,0,2087678698,2967930990,2967930990
2022-03-03,5055678618,5055678618,0,0,2968245877,0,0,0,0,0,2087432741,2968245877,2968245877
2022-03-04,5055746628,5055746628,0,0,2968556747,0,0,0,0,0,2087189882,2968556747,2968556747
2022-03-05,5055815157,5055815157,0,0,2968856037,0,0,0,0,0,2086959121,2968856037,2968856037
2022-03-06,5055884452,5055884452,0,0,2969170501,0,0,0,0,0,2086713950,2969170501,2969170501
2022-03-07,5055953324,5055953324,0,0,2969491217,0,0,0,0,0,2086462107,2969491217,2969491217
2022-03-08,5056022820,5056022820,0,0,2969817369,0,0,0,0,0,2086205451,2969817369,2969817369
2022-03-09,5056092362,5056092362,0,0,2970128459,0,0,0,0,0,2085963903,2970128459,2970128459
2022-03-10,5056161473,5056161473,0,0,2970450164,0,0,0,0,0,2085711309,2970450164,2970450164
