DATE,PUBLIC_DISTRIBUTION_DAILY,FLARE_LABS_DAILY,FLARE_VC_FUND_DAILY,FLARE_FOUNDATION_DAILY,FOUNDING_TEAM_DAILY,REST_TEAM_ADVISORS_DAILY,BACKERS_DAILY,BURNS_DAILY,TOTAL_UNLOCKS_DAILY,FOUNDATION_UNLOCKS_DAILY,CUMULATIVE_FOUNDATION_UNLOCKS,TEAM_UNLOCKS_DAILY,CUMULATIVE_TEAM_UNLOCKS,NET_SUPPLY_CHANGE,CUMULATIVE_INFLATION,CUMULATIVE_UNLOCKS,CUMULATIVE_BURNS
2023-06-12,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,12602547505.599990,18565000.000000,9014560000.000008,58716687.900000,0,21617107505.599998,0.000000
2023-06-13,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,12642699193.499990,18565000.000000,9033125000.000008,58716687.900000,0,21675824193.499998,0.000000
2023-06-14,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,12682850881.399990,18565000.000000,9051690000.000008,58716687.900000,0,21734540881.399998,0.000000
2023-06-15,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,12723002569.299990,18565000.000000,9070255000.000008,58716687.900000,0,21793257569.299998,0.000000
2023-06-16,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,12763154257.199990,18565000.000000,9088820000.000008,58716687.900000,0,21851974257.199998,0.000000
2023-06-17,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,12803305945.099990,18565000.000000,9107385000.000008,58716687.900000,0,21910690945.099998,0.000000
2023-06-18,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,12843457632.999990,18565000.000000,9125950000.000008,58716687.900000,0,21969407632.999998,0.000000
2023-06-19,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,12883609320.899990,18565000.000000,9144515000.000008,58716687.900000,0,22028124320.899998,0.000000
2023-06-20,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,12923761008.799990,18565000.000000,9163080000.000008,58716687.900000,0,22086841008.799998,0.000000
2023-06-21,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,12963912696.699990,18565000.000000,9181645000.000008,58716687.900000,0,22145557696.699998,0.000000
2023-06-22,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,13004064384.599990,18565000.000000,9200210000.000008,58716687.900000,0,22204274384.599998,0.000000
2023-06-23,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,13044216072.499990,18565000.000000,9218775000.000008,58716687.900000,0,22262991072.499998,0.000000
2023-06-24,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,13084367760.399990,18565000.000000,9237340000.000008,58716687.900000,0,22321707760.399998,0.000000
