date,Total_Monthly,Airdrop,Binance_Launchpool,Public_Sale,Private_Round,Strategic,Institution,Ecosystem_Community,Foundation,Airdrop_2,Team,Advisor
2028-04-18,3958333.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,2083333.33,0.00
2028-05-18,3958333.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,2083333.33,0.00
2028-06-18,3958333.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,2083333.33,0.00
2028-07-18,3958333.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,2083333.33,0.00
2028-08-18,3958333.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,2083333.33,0.00
2028-09-18,3958333.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,2083333.33,0.00
2028-10-18,3958333.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,2083333.33,0.00
2028-11-18,3958333.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,2083333.33,0.00
2028-12-18,3958333.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,2083333.33,0.00
2029-01-18,3958333.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,2083333.33,0.00
2029-02-18,3958333.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,2083333.33,0.00
2029-03-18,3958333.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,2083333.33,0.00
2029-04-18,3958333.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,2083333.33,0.00
2029-05-18,3958333.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,2083333.33,0.00
2029-06-18,3958333.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,2083333.33,0.00
2029-07-18,3958333.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,2083333.33,0.00
2029-08-18,1875000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,0.00,0.00
2029-09-18,1875000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,0.00,0.00
2029-10-18,1875000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,0.00,0.00
2029-11-18,1875000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,0.00,0.00
2029-12-18,1875000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,0.00,0.00
2030-01-18,1875000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,0.00,0.00
