date,premine_unlocks_native,circulating_supply_native
2022-05-27,"1,367,989.06","534,883,720.93"
2022-05-28,"1,367,989.06","536,251,709.99"
2022-05-29,"1,367,989.06","537,619,699.04"
2022-05-30,"1,367,989.06","538,987,688.10"
2022-05-31,"1,367,989.06","540,355,677.15"
2022-06-01,"1,367,989.06","541,723,666.21"
2022-06-02,"1,367,989.06","543,091,655.27"
2022-06-03,"1,367,989.06","544,459,644.32"
2022-06-04,"1,367,989.06","545,827,633.38"
2022-06-05,"1,367,989.06","547,195,622.44"
2022-06-06,"1,367,989.06","548,563,611.49"
2022-06-07,"1,367,989.06","549,931,600.55"
2022-06-08,"1,367,989.06","551,299,589.60"
2022-06-09,"1,367,989.06","552,667,578.66"
2022-06-10,"1,367,989.06","554,035,567.72"
2022-06-11,"1,367,989.06","555,403,556.77"
2022-06-12,"1,367,989.06","556,771,545.83"
2022-06-13,"1,367,989.06","558,139,534.88"
2022-06-14,"1,367,989.06","559,507,523.94"
2022-06-15,"1,367,989.06","560,875,513.00"
2022-06-16,"1,367,989.06","562,243,502.05"
2022-06-17,"1,367,989.06","563,611,491.11"
2022-06-18,"1,367,989.06","564,979,480.16"
2022-06-19,"1,367,989.06","566,347,469.22"
2022-06-20,"1,367,989.06","567,715,458.28"
2022-06-21,"1,367,989.06","569,083,447.33"
2022-06-22,"1,367,989.06","570,451,436.39"
2022-06-23,"1,367,989.06","571,819,425.44"
2022-06-24,"1,367,989.06","573,187,414.50"
2022-06-25,"1,367,989.06","574,555,403.56"
2022-06-26,"1,367,989.06","575,923,392.61"
2022-06-27,"1,367,989.06","577,291,381.67"
2022-06-28,"1,367,989.06","578,659,370.73"
2022-06-29,"1,367,989.06","580,027,359.78"
2022-06-30,"1,367,989.06","581,395,348.84"
2022-07-01,"1,367,989.06","582,763,337.89"
2022-07-02,"1,367,989.06","584,131,326.95"
2022-07-03,"1,367,989.06","585,499,316.01"
2022-07-04,"1,367,989.06","586,867,305.06"
2022-07-05,"1,367,989.06","588,235,294.12"
2022-07-06,"1,367,989.06","589,603,283.17"
2022-07-07,"1,367,989.06","590,971,272.23"
2022-07-08,"1,367,989.06","592,339,261.29"
2022-07-09,"1,367,989.06","593,707,250.34"
2022-07-10,"1,367,989.06","595,075,239.40"
2022-07-11,"1,367,989.06","596,443,228.45"
2022-07-12,"1,367,989.06","597,811,217.51"
2022-07-13,"1,367,989.06","599,179,206.57"
2022-07-14,"1,367,989.06","600,547,195.62"
2022-07-15,"1,367,989.06","601,915,184.68"
2022-07-16,"1,367,989.06","603,283,173.73"
2022-07-17,"1,367,989.06","604,651,162.79"
2022-07-18,"1,367,989.06","606,019,151.85"
2022-07-19,"1,367,989.06","607,387,140.90"
2022-07-20,"1,367,989.06","608,755,129.96"
